date,description,amount
2026-04-01,PIX CLIENTE OMEGA,2450.00
2026-04-01,TARIFA ASSINATURA PLATAFORMA,-79.90
2026-04-02,PAGAMENTO FORNECEDOR RIO VERDE,-1320.00
2026-04-03,REEMBOLSO CARTAO ESTORNO,180.00
2026-04-04,PIX ENVIADO ALINE SANTOS,-410.00
2026-04-05,COMPRA SUPERMERCADO CENTRAL,-216.35
2026-04-06,JUROS APLICACAO,34.12
2026-04-07,PAGAMENTO SERVICO NUVEM,-615.00
2026-04-08,TED RECEBIDO CLIENTE SOLAR,1500.00
2026-04-09,PIX ENVIADO PARA FILIAL NORTE,-280.00
2026-04-09,PIX ENVIADO PARA FILIAL NORTE,-280.00
